Dialogue Act,Emitter,Text
Other,Tomm,ello
Other,Markus,Just got a connection reset
Other,Tomm,"Hm, shouldn't happen (and hasn't before). Let me know if you have problems."
Other,Tomm,Got a SocketException error appear in this chat line
Other,Markus,I guess we'll see if it happens again
Other,Tomm,"Yes, fingers crossed."
Other,Markus,I take it this is the right game to be in?
Other,Markus,"Yes, I don't know where the other two are."
Other,Tomm,It's been very last minute ...
Other,Markus,"Excellent! Yeah, well it always feels last minute when you are getting participants, doesn't it?"
Other,Tomm,"Hehe, yes. Perhaps they're still in a lecture."
Other,Markus,"So, does this generate a random Catan board?"
Other,Tomm,Yes.
Other,Tomm,I'm still rather impressed at a Hex grid in Java to be honest... Java layout always feels like a nig
Other,Markus,*nightmare
Other,Tomm,Indeed; I had the pleasure editing the source code of this application.
Other,Markus,"Ah. Fun I take it? Still, it looks very nicely laid out to be honest."
Other,Tomm,"Well, it's an open source projet, so it's OK. But I had to dig deeper than I wanted. :*)"
Other,Markus,"Ahh! I see. One more to go, I guess."
Other,Markus,"Yes, it's supposed to be three of you."
Other,Tomm,"Hm, how are you two for time? Can we wait a bit longer?"
Other,rennoc1,I'm good for a little bit longer.
Other,Markus,I don't mind waiting for a while.
Other,Markus,Great. Great. I guess if person number 3 doesn't show up in 5 or 10 minutes it'll be you only you two anywa
Other,Dave,y.
Other,Markus,hi
Other,Markus,"Ah, great. We can start."
Other,Markus,Sombody has to click START GAME.
Other,rennoc1,Amd and off you go!
Other,Dave,so anyone else played this before?
Other,Tomm,"I haven't, no"
Other,Dave,"Yes, a little... but I was never good at it."
Other,rennoc1,is it still your turn rennoc?
Other,Dave,"yeah,"
Offer,Tomm,does anyone have any wood they would be willing to trade for?
"Refusal, Other",Dave,Not until people start rolling 8's :P
Other,Tomm,woo
"Offer, Other",Dave,Bugger. Got any clay to trade for sheep/wheat?
"Refusal, Other",Tomm,"Only got 1 and I'm holding on to it, sorry."
Other,rennoc1,"Also: Rennoc - be careful holding lots of resources. If someone rolls a 7, I think, you lose cards"
Accept,Dave,got some clay. how many do you need
Other,Tomm,"Yeah, that's the robber isn'tit"
Offer,rennoc1,"Well, what would you like for clay and/or how many do you want to give?"
Counteroffer,Dave,could do with some ore or sheep
"Counteroffer, Other",Tomm,"While we're talking about trading, does anyone have sheep"
Other,Tomm,"Yeah, on a 7 anyone with lots of cards gets halved and the robber gets moved."
Accept,Dave,"I have sheep, yes."
Counteroffer,Tomm,Need ore or wheat?
Offer,Dave,Sheep for an ore and sheep for a clay?
Accept,Tomm,sure
Other,Dave,soo... how do we do this?
Other,Dave,"ok, I THINK"
Other,Dave,click register a trade
Other,Tomm,then I'm not sure
Other,Dave,"so I give a sheep to red, I get an ore, right?"
Other,Tomm,yup
Other,Dave,Did that work?
Other,Dave,"it did, yeah"
Other,Tomm,thanks
Offer,rennoc1,rennoc: Sheep for an ore?
"Counteroffer, Refusal",Dave,"I dont have any ore, but i do have plenty clay"
Other,Tomm,Is there a reason I can't buy a settlement now? I have the resources
Other,Tomm,"Bah, that's what I meant, sorry."
Other,rennoc1,You have to do it on your go
Other,Dave,ok
Other,rennoc1,"yes but the road and card options have a greyed out buy option, settlement is just dashes"
Other,Dave,how do I accept a trade
Other,Tomm,"also you tried to trade with me there tomm, not rennoc"
Other,rennoc1,Thanks
Other,rennoc1,ah...
Other,Tomm,thanks
Other,Tomm,"Oh, you don't have anywhere you can BUILD a settlement"
Other,Tomm,"they have to be two sides away from a settlement, connected by road"
Other,Dave,so you need to build one more segment of road first
Other,Tomm,"oh, so I need to build a road first"
Other,Dave,yeah
Other,Dave,"right, thanks"
Other,Tomm,:D
Other,Dave,Oh... well that's unkind
Other,Tomm,sorry
Other,Tomm,"It's okay, name of the game and all that."
Other,Dave,Do you get a random one of my resources then?
Offer,Dave,anyone need wheat?
Other,Tomm,"I did, yeah"
Refusal,Dave,no thanks
Offer,rennoc1,rennoc?
Refusal,Dave,i'm ok for now
Other,Tomm,aww
Other,Dave,well that was robbery
Other,Dave,does the robber do anything after you put him  and before he's moved
Other,Tomm,"like, if that resource comes up will you not get it or something?"
Other,Dave,When he is in a hex you can't get resources
Other,Tomm,ah
Other,Tomm,"yeah, so 8 won't get you wheat now"
Other,Dave,I wasn't expected to roll 7 to be honest :p
Other,Dave,I thought you got to move the robber because you played a car?
Other,rennoc1,*card
Offer,Dave,any got any wood they can trade
Refusal,Tomm,Nope
Other,Tomm,"I played the card, moved the robber and THEN rolled a 7 as well"
Other,Dave,so I moved him twice
Other,Dave,aah
Other,Tomm,that sucks
"Refusal, Other",rennoc1,"and I've only got 1, and I've only got 1, sorry."
Other,Dave,ok
Offer,rennoc1,anyone need ore?
Accept,Dave,yep
Offer,Tomm,willing to trade for clay and sheep
Counteroffer,rennoc1,what for?
Accept,Dave,got some clay.
Offer,rennoc1,1 ore for 1 clay?
Accept,Tomm,ok
Offer,Dave,Sheep!
Other,Dave,uh
Other,Markus,should we add time>?
Other,rennoc1,"Yes, sorry."
Other,Dave,ADDTIME
Other,Tomm,*ADDTIME*
Offer,Tomm,Wheat? Sheep?
Offer,Dave,Anyone needy?
"Refusal, Other",rennoc1,"I need sheep, but I have nothing to trade, possibly when my turn rolls around I'll have something"
"Refusal, Other",Dave,"yeah, ive nothing either"
"Offer, Other",Tomm,"Ok now I can trade you ore or wood, need either?"
Other,Tomm,Well looks like you have stuff now Dave :P
Accept,Dave,Ore would be good.
Offer,rennoc1,1 ore for 1 sheep it is
Counteroffer,Dave,can I have some wood dave?
Counteroffer,rennoc1,what have you got to trade?
Counteroffer,Dave,sheep
Accept,Dave,I guess I can use two sheep
"Accept, Other",rennoc1,"yeah, go ahead"
Other,Tomm,i only have one sheep
Other,Dave,well you have no way of getting them yourself yet
Other,Dave,true
Other,Dave,"yeah, i mean I'll still trade with tomm after this trade"
Other,rennoc1,wrong person
Other,Tomm,...oh
Other,Tomm,little colour ticky boxes
Other,rennoc1,"Really easy to miss, I did that too."
Other,Dave,"cool, thanks :)"
Other,Dave,np
Other,Tomm,um
Other,Dave,pouty face.
Offer,Tomm,Still want to trade?
Accept,Dave,"Yes, do you still want to? do you still want to?"
Other,Dave,Only chose you becasue you have three times the resources
Accept,Dave,"and yeah, and yeah, sure"
Other,Tomm,uuuh
Other,Dave,on you go then
Offer,Tomm,"actually, instead of sheep, do you have any wood or clay?"
Refusal,Dave,"Ah, 'fraid not"
Other,Tomm,hmm
Other,Dave,Until someone rolls a 4
Offer,rennoc1,rennoc?
Refusal,Dave,nope dont have either
Other,Tomm,"I'm actually going to hold off on the trade for now, I'm actually going to hold off on the trade for now, I'm actually going to hold off on the trade for now, I'm actually going to hold off on the trade for now, sorry"
Other,Tomm,"Fair enough, thought you might!"
Other,Dave,You did nick that sheep after all :p
Other,Tomm,"well, it was revenge for earlier ^_^"
Other,Tomm,"Which was revenge for you earlier. Ah, how this game goes back :p"
Other,Dave,"Just gimmie the virtual dice, hehe"
Other,Tomm,I'm guessing there's no point in putting a city next to a desert
Other,Dave,Not unless the other hexes are very likely to come up
Other,Tomm,:/
Other,Dave,7!
Other,Dave,I've laid out my things at the start really badly
Other,Tomm,:D
Other,rennoc1,"Sorry Rennoc, wanted your goods"
Other,Tomm,aargh! my precious ores
Other,Tomm,Delicious
Other,Dave,"It's okay Dave, so did I."
Other,Tomm,really
Other,Dave,oh...
Other,Tomm,reallllly
Other,Dave,Oh great. Sheep. Don't have any of those.
Other,Tomm,that was my favourite sheep!
Other,Tomm,Worrying... >.>
Other,rennoc1,"Sorry, what did you roll Rennoc?"
Other,Tomm,a 5 ( I think)
Other,Tomm,ORE! :D
Other,Dave,Also... you're all gonna hate me
Other,Dave,oh no
Other,rennoc1,"well, that wasn't too bad well, that wasn't too bad"
Other,Tomm,oh dear...
Other,Dave,"Sorry, need me some clay and I can't get it"
Offer,Tomm,wheat for ore anyone?
Refusal,Tomm,You just nicked my wheat :P
Refusal,Dave,Not going to buy it back
Offer,Dave,Want to buy it back? :D
Other,Dave,aw
Other,Tomm,discard?
Other,Dave,Well that was upsetting.
Other,Tomm,did you just lose four resources?
Other,Dave,yes
Other,rennoc1,how?
Other,Tomm,rolled a 7
Other,Dave,Had too many cards when a 7 came up
Other,Dave,"yeah, but"
Other,Dave,oh
Other,Tomm,didn't know that was a thing
Other,Tomm,I think it's over 7?
Other,Tomm,Anyway. Bah.
Other,Dave,My wheat!
Other,Tomm,I didn't want that wheat anyway
Offer,Tomm,Anyone want anything for wood?
Other,Dave,seeing as no one is rolling 8's despite it being really likely.
Other,rennoc1,equally likely for all numbers? Although I guess it depends on how the rolls are simulated
Refusal,Tomm,"dont have any, sorry"
Other,Tomm,Nah it isn't if it follows the proper game.
Other,Dave,"You are rolling 2 dice... so there are more ways of rolling say an 8, rather than a 2"
Other,Tomm,"Yeah, I mean if it's actually rolling two dice then there are more 8's tha- well, yeha"
"Offer, Other",Dave,So no wood anyone? okay okay
Refusal,Dave,"nope, sorry"
Other,Dave,10 10 10
Other,Dave,never a 10
Other,Dave,:9
Other,Tomm,*:(
Other,Dave,Yeah. Also 8 should be as likely as a 6... but looads of 6's no 8's :p
Other,Tomm,"also 7's, we've had about half the rolls as sevens"
Other,Tomm,7 is the most likely to be fair
Other,Dave,from what I remember
Other,rennoc1,"it is, yeah, even so"
"Offer, Other",Dave,so anyone have any ore? I have sheep to spare
Counteroffer,Tomm,I have wheat
Refusal,Dave,fraid not
Other,Dave,"more wheat, great"
Offer,Tomm,anyone need wheat?
"Refusal, Other",Dave,"Really not, sorry."
Offer,rennoc1,rennoc?
Refusal,Tomm,I'm fine for wheat at the mo
Other,Dave,well... sigh.
Other,Tomm,least you didn't have to lose half your resrouces this time
Other,Tomm,true.
Other,Dave,I'd rather like to roll an 8 though :P
Other,Tomm,No more wheat!
Other,Dave,Well thank you Rennoc :D
Offer,Tomm,anyone need wheat?
Counteroffer,Dave,What for?
Offer,Dave,"clay, I guess, or ore"
Offer,rennoc1,or wood
Other,Dave,"you know if you have more than 4, I think you can trade them into the bank,"
Other,Tomm,yeah but it's not ideal
Other,Tomm,That's true... 4 -> 1
Other,Tomm,"Well, I might do, but depends on my roll, I'm afraid"
Offer,Dave,Dave: Wheat for a clay?
Counteroffer,Tomm,"sure, can you do 2 for 2, or do you just want 1 for 1"
Accept,Dave,Just 1-4-1 I'm afraid
Accept,Tomm,fair enough
Other,Dave,Oh... now I get wheat(!)
Other,rennoc1,heh
Offer,Dave,any spare ores anyone?
